title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,4867,Rakki,2.0,4.1,595.0,"Via Tertulliano, 38, Milano","via tertulliano, 38, milano"
,,,,4872,Zafferan,1.0,4.0,174.0,"Via Tito Livio, 22, Milano","via tito livio, 22, milano"
,,,,4874,Onda Fusion Restaurant,,4.7,3.0,"Via Tito Livio, 37, Milano","via tito livio, 37, milano"
,,,,4875,Piazza salgari,,4.0,12.0,"Via Sebino, 8/12, Milano","via sebino, 8/12, milano"
,,,,4883,Miró,1.0,3.7,90.0,"Piazza Emilio Salgari, Milano","piazza emilio salgari, milano"
,,,,4888,La Sirenetta,1.0,4.1,625.0,"Via Rodolfo Carabelli, 9, Milano","via rodolfo carabelli, 9, milano"
,,,,4897,Restoranti egitziano,,2.0,1.0,"Piazzale Vincenzo Cuoco, 4, Milano","piazzale vincenzo cuoco, 4, milano"
,,,,4898,Dream Kebab,1.0,3.7,105.0,"Piazzale Vincenzo Cuoco, 4, Milano","piazzale vincenzo cuoco, 4, milano"
,,,,4899,Istanbul Kebap,,5.0,1.0,"Via Emilio Faà di Bruno, 14, Milano","via emilio faà di bruno, 14, milano"
,,,,4900,Pizzeria Grazie Italia,1.0,4.6,40.0,"Via Emilio Faà di Bruno, 14, Milano","via emilio faà di bruno, 14, milano"
,,,,4901,Pazarcik Atmali Kebap,,,,"14, Via Faa' Di Bruno Emilio, Milano, MI 20137, Milano","14, via faa' di bruno emilio, milano, mi 20137, milano"
,,,,4905,Las delicias,,4.6,9.0,"Via del Turchino, 8, Milano","via del turchino, 8, milano"
,,,,4908,Doner Kebab,,3.6,72.0,"Viale Molise, Milano","viale molise, milano"
,,,,4910,Erbert Eat Right,,4.5,4.0,"Via Marco Fabio Quintiliano, 25, Milano","via marco fabio quintiliano, 25, milano"
,,,,4912,INGRESSO CENA SOCIALE CDO MILANO,,,,Milan,milan
,,,,4914,Pizzeria Bella Alice,1.0,4.0,81.0,"Via Mecenate, 107, Milano","via mecenate, 107, milano"
,,,,4915,Touro Churrascaria,,4.7,112.0,"Via Mecenate, 107, Milano","via mecenate, 107, milano"
,,,,4916,Rania Di Elshobaki Mohamed Elymnani Salem Mohamed,,,,"Via Mecenate, 107, Milano","via mecenate, 107, milano"
,,,,4925,Ristorante El Tekkia M.M.G. Soc.Coop.,2.0,4.1,298.0,"Via Gaudenzio Fantoli, 28/15, Milano","via gaudenzio fantoli, 28/15, milano"
